Rank,Title,Comment,Score,Url
41,罗马假日/Roman Holiday/金枝玉叶(港)  /  罗马假期(台),爱情哪怕只有一天。,9.0,https://movie.douban.com/subject/1293839/
42,闻香识女人/Scent of a Woman/女人香  /  女人的芳香,史上最美的探戈。,9.0,https://movie.douban.com/subject/1298624/
43,末代皇帝/The Last Emperor/末代皇帝溥仪(港),“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.2,https://movie.douban.com/subject/1293172/
44,寻梦环游记/Coco/可可夜总会(台)  /  玩转极乐园(港),死亡不是真的逝去，遗忘才是永恒的消亡。,9.0,https://movie.douban.com/subject/20495023/
45,辩护人/변호인/逆权大状(港)  /  正义辩护人(台),电影的现实意义大过电影本身。,9.2,https://movie.douban.com/subject/21937445/
46,窃听风暴/Das Leben der Anderen/窃听者(港)  /  他人的生活,别样人生。,9.1,https://movie.douban.com/subject/1900841/
47,素媛/소원/许愿  /  希望：为爱重生(台),受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.2,https://movie.douban.com/subject/21937452/
48,死亡诗社/Dead Poets Society/暴雨骄阳(港)  /  春风化雨(台),当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.0,https://movie.douban.com/subject/1291548/
49,"两杆大烟枪/Lock, Stock and Two Smoking Barrels/够姜四小强(港)  /  两根枪管(台)",4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,https://movie.douban.com/subject/1293350/
50,飞越疯人院/One Flew Over the Cuckoo's Nest/飞越杜鹃窝(台)  /  飞越喜鹊巢,自由万岁。,9.1,https://movie.douban.com/subject/1292224/
51,指环王2：双塔奇兵/The Lord of the Rings: The Two Towers/魔戒二部曲：双城奇谋  /  指环王II：双塔,承前启后的史诗篇章。,9.0,https://movie.douban.com/subject/1291572/
52,教父2/The Godfather: Part Ⅱ/教父续集  /  教父II,优雅的孤独。,9.2,https://movie.douban.com/subject/1299131/
53,指环王1：魔戒再现/The Lord of the Rings: The Fellowship of the Ring/魔戒首部曲：魔戒现身  /  指环王I：护戒使者,传说的开始。,9.0,https://movie.douban.com/subject/1291571/
54,V字仇杀队/V for Vendetta/V煞(港)  /  V怪客(台),一张面具背后的理想与革命。,8.9,https://movie.douban.com/subject/1309046/
55,狮子王/The Lion King/狮子王3D,动物版《哈姆雷特》。,9.0,https://movie.douban.com/subject/1301753/
56,美丽心灵/A Beautiful Mind/有你终生美丽(港)  /  美丽境界(台),爱是一切逻辑和原由。,9.0,https://movie.douban.com/subject/1306029/
57,饮食男女/飲食男女/Eat Drink Man Woman,人生不能像做菜，把所有的料都准备好了才下锅。,9.1,https://movie.douban.com/subject/1291818/
58,海豚湾/The Cove/血色海湾(台)  /  海湾,海豚的微笑，是世界上最高明的伪装。,9.3,https://movie.douban.com/subject/3442220/
59,情书/Love Letter/When I Close My Eyes  /  Letters of Love,暗恋的极致。,8.9,https://movie.douban.com/subject/1292220/
60,钢琴家/The Pianist/战地琴声(台)  /  战地琴人,音乐能化解仇恨。,9.1,https://movie.douban.com/subject/1296736/
61,本杰明·巴顿奇事/The Curious Case of Benjamin Button/奇幻逆缘(港)  /  班杰明的奇幻旅程(台),在时间之河里感受溺水之苦。,8.9,https://movie.douban.com/subject/1485260/
62,看不见的客人/Contratiempo/佈局(台)  /  死无对证(港),你以为你以为的就是你以为的。,8.8,https://movie.douban.com/subject/26580232/
63,黑客帝国/The Matrix/廿二世纪杀人网络(港)  /  骇客任务(台),视觉革命。,8.9,https://movie.douban.com/subject/1291843/
64,哈利·波特与魔法石/Harry Potter and the Sorcerer's Stone/哈利波特1：神秘的魔法石(港 / 台),童话世界的开端。,8.9,https://movie.douban.com/subject/1295038/
65,大闹天宫/大闹天宫 上下集  /  The Monkey King,经典之作，历久弥新。,9.3,https://movie.douban.com/subject/1418019/
66,美国往事/Once Upon a Time in America/四海兄弟(台)  /  义薄云天(港),往事如烟，无处祭奠。,9.1,https://movie.douban.com/subject/1292262/
67,西西里的美丽传说/Malèna/真爱伴我行(台)  /  玛莲娜,美丽无罪。,8.8,https://movie.douban.com/subject/1292402/
68,小鞋子/بچههای آسمان/天堂的孩子  /  小童鞋,奔跑的孩子是天使。,9.2,https://movie.douban.com/subject/1303021/
69,拯救大兵瑞恩/Saving Private Ryan/雷霆救兵(港)  /  抢救雷恩大兵(台),美利坚精神输出大片No1.,9.0,https://movie.douban.com/subject/1292849/
70,让子弹飞/让子弹飞一会儿  /  火烧云,你给我翻译翻译，神马叫做TMD的惊喜。,8.8,https://movie.douban.com/subject/3742360/
71,致命魔术/The Prestige/顶尖对决(台)  /  死亡魔法(港),孪生蝙蝠侠大战克隆金刚狼。,8.8,https://movie.douban.com/subject/1780330/
72,音乐之声/The Sound of Music/仙乐飘飘处处闻(港)  /  真善美(台),用音乐化解仇恨，让歌声串起美好。,9.0,https://movie.douban.com/subject/1294408/
73,七宗罪/Se7en/火线追缉令(台)  /  7宗罪,警察抓小偷，老鼠玩死猫。,8.8,https://movie.douban.com/subject/1292223/
